<> SIMULATING ----------------
+-------+-----------------+------+------+------+---------+---------+------+-------+
| Test #| Mode            | Op   | OpA  | OpB  | alu_data | Expected| Cout | Match?|
|51     |Comparison/Shift | SRA  |4b1100| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|52     |Logical          | NOT_A|4b0111| 4b0111| 4b1000  | 4b1000  | 1b0  | Yes   |
|53     |Arithmetic       | MULT |4b1111| 4b0001| 4b1111  | 4b1111  | 1b0  | Yes   |
|54     |Comparison/Shift | LT   |4b0000| 4b0001| 4b0001  | 4b0001  | 1b0  | Yes   |
|55     |Arithmetic       | ADD  |4b1000| 4b1001| 4b0001  | 4b0001  | 1b1  | Yes   |
|56     |Arithmetic       | SUB  |4b1111| 4b0000| 4b1111  | 4b1111  | 1b0  | Yes   |
|57     |Arithmetic       | MOD  |4b0011| 4b1101| 4b0011  | 4b0011  | 1b0  | Yes   |
|58     |Comparison/Shift | SLL  |4b0100| 4b0000| 4b0100  | 4b0100  | 1b0  | Yes   |
|59     |Arithmetic       | MOD  |4b1010| 4b0111| 4b0011  | 4b0011  | 1b0  | Yes   |
|60     |Arithmetic       | MOD  |4b1110| 4b1000| 4b0110  | 4b0110  | 1b0  | Yes   |
|61     |Arithmetic       | MOD  |4b1001| 4b1101| 4b1001  | 4b1001  | 1b0  | Yes   |
|62     |Arithmetic       | DIV  |4b1111| 4b1000| 4b0001  | 4b0001  | 1b0  | Yes   |
|63     |Arithmetic       | MULT |4b0001| 4b1011| 4b1011  | 4b1011  | 1b0  | Yes   |
|64     |Comparison/Shift | SLT  |4b1011| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|65     |Arithmetic       | ADD  |4b1011| 4b0011| 4b1110  | 4b1110  | 1b0  | Yes   |
|66     |Arithmetic       | ADD  |4b0011| 4b1010| 4b1101  | 4b1101  | 1b0  | Yes   |
|67     |Logical          | AND  |4b0010| 4b0110| 4b0010  | 4b0010  | 1b0  | Yes   |
|68     |Arithmetic       | MULT |4b1110| 4b1101| 4b0110  | 4b0110  | 1b0  | No    |
|69     |Logical          | XOR  |4b1011| 4b1001| 4b0010  | 4b0010  | 1b0  | Yes   |
|70     |Arithmetic       | MULT |4b0001| 4b0110| 4b0110  | 4b0110  | 1b0  | Yes   |
|71     |Comparison/Shift | NE   |4b0001| 4b0110| 4b0001  | 4b0001  | 1b1  | No    |
|72     |Arithmetic       | MULT |4b0100| 4b1101| 4b0100  | 4b0100  | 1b0  | No    |
|73     |Logical          | NOT_B|4b0001| 4b0000| 4b1111  | 4b1111  | 1b0  | Yes   |
|74     |Logical          | NOT_B|4b1010| 4b1101| 4b0010  | 4b0010  | 1b0  | Yes   |
|75     |Logical          | OR   |4b0011| 4b0010| 4b0011  | 4b0011  | 1b0  | Yes   |
|76     |Arithmetic       | ADD  |4b0000| 4b1011| 4b1011  | 4b1011  | 1b0  | Yes   |
|77     |Logical          | NOR  |4b0101| 4b1000| 4b0010  | 4b0010  | 1b0  | Yes   |
|78     |Arithmetic       | ADD  |4b1110| 4b0110| 4b0100  | 4b0100  | 1b1  | Yes   |
|79     |Comparison/Shift | NE   |4b1100| 4b1011| 4b0001  | 4b0001  | 1b0  | Yes   |
|80     |Comparison/Shift | EQ   |4b1001| 4b1001| 4b0001  | 4b0001  | 1b1  | No    |
|81     |Logical          | NOT_A|4b1001| 4b1101| 4b0110  | 4b0110  | 1b0  | Yes   |
|82     |Logical          | NAND |4b1010| 4b0001| 4b1111  | 4b1111  | 1b0  | Yes   |
|83     |Comparison/Shift | LEU  |4b0011| 4b1101| 4b0001  | 4b0001  | 1b0  | Yes   |
|84     |Arithmetic       | MULT |4b1000| 4b0110| 4b0000  | 4b0000  | 1b0  | No    |
|85     |Comparison/Shift | EQ   |4b1110| 4b0011| 4b0000  | 4b0000  | 1b1  | No    |
|86     |Comparison/Shift | EQ   |4b1001| 4b1101| 4b0000  | 4b0000  | 1b1  | No    |
|87     |Logical          | OR   |4b1000| 4b1010| 4b1010  | 4b1010  | 1b1  | No    |
|88     |Arithmetic       | MULT |4b0011| 4b0100| 4b1100  | 4b1100  | 1b0  | Yes   |
|89     |Comparison/Shift | SLL  |4b0001| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|90     |Arithmetic       | MOD  |4b1011| 4b1111| 4b1011  | 4b1011  | 1b0  | Yes   |
|91     |Arithmetic       | DIV  |4b1100| 4b0110| 4b0010  | 4b0010  | 1b0  | Yes   |
|92     |Arithmetic       | DIV  |4b1100| 4b0000| 4b0000  | 4b0000  | 1b0  | Yes   |
|93     |Logical          | NAND |4b0100| 4b0110| 4b1011  | 4b1011  | 1b0  | Yes   |
|94     |Comparison/Shift | SRA  |4b0011| 4b0101| 4b0000  | 4b0000  | 1b0  | Yes   |
|95     |Comparison/Shift | SLTU |4b1111| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|96     |Logical          | NOR  |4b1101| 4b1001| 4b0010  | 4b0010  | 1b0  | Yes   |
|97     |Arithmetic       | ADD  |4b0011| 4b1101| 4b0000  | 4b0000  | 1b1  | Yes   |
|98     |Comparison/Shift | EQ   |4b1101| 4b0010| 4b0000  | 4b0000  | 1b0  | Yes   |
|99     |Logical          | NAND |4b1001| 4b1110| 4b0111  | 4b0111  | 1b0  | Yes   |
|100    |Logical          | NOT_A|4b1111| 4b0001| 4b0000  | 4b0000  | 1b0  | Yes   |
|101    |Arithmetic       | MULT |4b0111| 4b1000| 4b1000  | 4b1000  | 1b0  | No    |
|102    |Arithmetic       | ADD  |4b1101| 4b0011| 4b0000  | 4b0000  | 1b1  | Yes   |
|103    |Arithmetic       | MULT |4b1100| 4b0100| 4b0000  | 4b0000  | 1b0  | No    |
|104    |Logical          | AND  |4b1101| 4b1100| 4b1100  | 4b1100  | 1b1  | No    |
|105    |Comparison/Shift | SRL  |4b1010| 4b0001| 4b0101  | 4b0101  | 1b0  | Yes   |
|106    |Comparison/Shift | LT   |4b0100| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|107    |Logical          | AND  |4b1001| 4b1111| 4b1001  | 4b1001  | 1b1  | No    |
|108    |Comparison/Shift | SRL  |4b0000| 4b0011| 4b0000  | 4b0000  | 1b0  | Yes   |
|109    |Logical          | OR   |4b1011| 4b1100| 4b1111  | 4b1111  | 1b1  | No    |
|110    |Logical          | NOT_A|4b1111| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|111    |Logical          | NOT_A|4b1110| 4b0100| 4b0001  | 4b0001  | 1b0  | Yes   |
|112    |Comparison/Shift | EQ   |4b0000| 4b1100| 4b0000  | 4b0000  | 1b0  | Yes   |
|113    |Comparison/Shift | SLL  |4b1101| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|114    |Logical          | XNOR |4b0101| 4b0010| 4b1000  | 4b1000  | 1b0  | Yes   |
|115    |Logical          | OR   |4b0001| 4b0001| 4b0001  | 4b0001  | 1b0  | Yes   |
|116    |Logical          | XNOR |4b0100| 4b0011| 4b1000  | 4b1000  | 1b0  | Yes   |
|117    |Logical          | NOR  |4b1111| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|118    |Comparison/Shift | SLTU |4b0100| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|119    |Logical          | XOR  |4b0010| 4b1110| 4b1100  | 4b1100  | 1b0  | Yes   |
|120    |Logical          | AND  |4b1010| 4b1010| 4b1010  | 4b1010  | 1b1  | No    |
|121    |Arithmetic       | MULT |4b0100| 4b1110| 4b1000  | 4b1000  | 1b0  | No    |
|122    |Arithmetic       | DIV  |4b0000| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|123    |Arithmetic       | ADD  |4b1001| 4b0000| 4b1001  | 4b1001  | 1b0  | Yes   |
|124    |Comparison/Shift | GEU  |4b0011| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|125    |Logical          | XOR  |4b0110| 4b0101| 4b0011  | 4b0011  | 1b0  | Yes   |
|126    |Arithmetic       | SUB  |4b0011| 4b1011| 4b1000  | 4b1000  | 1b1  | Yes   |
|127    |Logical          | NOT_B|4b1001| 4b1011| 4b0100  | 4b0100  | 1b0  | Yes   |
|128    |Logical          | OR   |4b0101| 4b0100| 4b0101  | 4b0101  | 1b0  | Yes   |
|129    |Comparison/Shift | GEU  |4b0011| 4b0101| 4b0000  | 4b0000  | 1b0  | Yes   |
|130    |Comparison/Shift | GE   |4b1101| 4b1100| 4b0001  | 4b0001  | 1b0  | Yes   |
|131    |Logical          | AND  |4b1101| 4b0111| 4b0101  | 4b0101  | 1b1  | No    |
|132    |Logical          | AND  |4b0010| 4b0000| 4b0000  | 4b0000  | 1b0  | Yes   |
|133    |Arithmetic       | MULT |4b0101| 4b0100| 4b0100  | 4b0100  | 1b0  | No    |
|134    |Arithmetic       | SUB  |4b1111| 4b0000| 4b1111  | 4b1111  | 1b0  | Yes   |
|135    |Comparison/Shift | LT   |4b1011| 4b0100| 4b0001  | 4b0001  | 1b0  | Yes   |
|136    |Logical          | NOT_B|4b1001| 4b1000| 4b0111  | 4b0111  | 1b0  | Yes   |
|137    |Arithmetic       | SUB  |4b1110| 4b1101| 4b0001  | 4b0001  | 1b0  | Yes   |
|138    |Arithmetic       | MOD  |4b1001| 4b0100| 4b0001  | 4b0001  | 1b0  | Yes   |
|139    |Comparison/Shift | LT   |4b1100| 4b0101| 4b0001  | 4b0001  | 1b0  | Yes   |
|140    |Comparison/Shift | LEU  |4b0101| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|141    |Comparison/Shift | SRL  |4b1110| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|142    |Comparison/Shift | GE   |4b1010| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|143    |Arithmetic       | MULT |4b0100| 4b0010| 4b1000  | 4b1000  | 1b0  | Yes   |
|144    |Arithmetic       | ADD  |4b1010| 4b1110| 4b1000  | 4b1000  | 1b1  | Yes   |
|145    |Logical          | NAND |4b1011| 4b1000| 4b0111  | 4b0111  | 1b0  | Yes   |
|146    |Comparison/Shift | GEU  |4b1101| 4b0110| 4b0001  | 4b0001  | 1b0  | Yes   |
|147    |Logical          | OR   |4b1011| 4b0010| 4b1011  | 4b1011  | 1b0  | Yes   |
|148    |Comparison/Shift | NE   |4b1100| 4b1110| 4b0001  | 4b0001  | 1b1  | No    |
|149    |Arithmetic       | SUB  |4b1000| 4b1110| 4b1010  | 4b1010  | 1b1  | Yes   |
|150    |Arithmetic       | SUB  |4b1101| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|151    |Comparison/Shift | SRL  |4b1111| 4b1100| 4b0000  | 4b0000  | 1b0  | Yes   |
|152    |Logical          | NOR  |4b1011| 4b0111| 4b0000  | 4b0000  | 1b0  | Yes   |
|153    |Logical          | NAND |4b0000| 4b0110| 4b1111  | 4b1111  | 1b0  | Yes   |
|154    |Comparison/Shift | GEU  |4b1100| 4b0111| 4b0001  | 4b0001  | 1b0  | Yes   |
|155    |Comparison/Shift | GE   |4b1001| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|156    |Arithmetic       | ADD  |4b1100| 4b0100| 4b0000  | 4b0000  | 1b1  | Yes   |
|157    |Arithmetic       | ADD  |4b0010| 4b1000| 4b1010  | 4b1010  | 1b0  | Yes   |
|158    |Arithmetic       | DIV  |4b0101| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|159    |Arithmetic       | SUB  |4b1011| 4b1111| 4b1100  | 4b1100  | 1b1  | Yes   |
|160    |Logical          | XNOR |4b0111| 4b1111| 4b0111  | 4b0111  | 1b0  | Yes   |
|161    |Logical          | OR   |4b0101| 4b1000| 4b1101  | 4b1101  | 1b1  | No    |
|162    |Arithmetic       | DIV  |4b1111| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|163    |Logical          | NOT_A|4b0111| 4b0001| 4b1000  | 4b1000  | 1b0  | Yes   |
|164    |Arithmetic       | MOD  |4b0101| 4b1111| 4b0101  | 4b0101  | 1b0  | Yes   |
|165    |Logical          | NOT_B|4b0111| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|166    |Comparison/Shift | SRL  |4b1101| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|167    |Arithmetic       | MOD  |4b0111| 4b1101| 4b0111  | 4b0111  | 1b0  | Yes   |
|168    |Logical          | XOR  |4b1101| 4b1011| 4b0110  | 4b0110  | 1b0  | Yes   |
|169    |Comparison/Shift | SRA  |4b0011| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|170    |Arithmetic       | SUB  |4b0011| 4b1101| 4b0110  | 4b0110  | 1b1  | Yes   |
|171    |Logical          | NOT_B|4b1110| 4b1001| 4b0110  | 4b0110  | 1b0  | Yes   |
|172    |Logical          | XNOR |4b1000| 4b0110| 4b0001  | 4b0001  | 1b0  | Yes   |
|173    |Arithmetic       | MULT |4b0101| 4b0010| 4b1010  | 4b1010  | 1b0  | Yes   |
|174    |Comparison/Shift | LEU  |4b1010| 4b1011| 4b0001  | 4b0001  | 1b0  | Yes   |
|175    |Comparison/Shift | EQ   |4b1000| 4b1010| 4b0000  | 4b0000  | 1b1  | No    |
|176    |Arithmetic       | MULT |4b0101| 4b0110| 4b1110  | 4b1110  | 1b0  | No    |
|177    |Logical          | NOT_A|4b1111| 4b1100| 4b0000  | 4b0000  | 1b0  | Yes   |
|178    |Comparison/Shift | SLTU |4b1001| 4b0100| 4b0000  | 4b0000  | 1b0  | Yes   |
|179    |Arithmetic       | SUB  |4b1101| 4b1100| 4b0001  | 4b0001  | 1b0  | Yes   |
|180    |Arithmetic       | MULT |4b0011| 4b0111| 4b0101  | 4b0101  | 1b0  | No    |
|181    |Arithmetic       | SUB  |4b1001| 4b1111| 4b1010  | 4b1010  | 1b1  | Yes   |
|182    |Comparison/Shift | LT   |4b1010| 4b0111| 4b0001  | 4b0001  | 1b0  | Yes   |
|183    |Logical          | NOR  |4b0001| 4b0110| 4b1000  | 4b1000  | 1b0  | Yes   |
|184    |Comparison/Shift | NE   |4b1100| 4b0000| 4b0001  | 4b0001  | 1b0  | Yes   |
|185    |Logical          | NAND |4b1100| 4b1000| 4b0111  | 4b0111  | 1b0  | Yes   |
|186    |Logical          | XOR  |4b1100| 4b1101| 4b0001  | 4b0001  | 1b0  | Yes   |
|187    |Comparison/Shift | GE   |4b1001| 4b1000| 4b0001  | 4b0001  | 1b0  | Yes   |
|188    |Arithmetic       | MOD  |4b1111| 4b0100| 4b0011  | 4b0011  | 1b0  | Yes   |
|189    |Comparison/Shift | NE   |4b0011| 4b0000| 4b0001  | 4b0001  | 1b0  | Yes   |
|190    |Comparison/Shift | SLTU |4b0111| 4b0011| 4b0000  | 4b0000  | 1b0  | Yes   |
|191    |Arithmetic       | MOD  |4b1001| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|192    |Comparison/Shift | EQ   |4b1010| 4b1100| 4b0000  | 4b0000  | 1b1  | No    |
|193    |Logical          | OR   |4b0100| 4b0001| 4b0101  | 4b0101  | 1b0  | Yes   |
|194    |Arithmetic       | MULT |4b1110| 4b1001| 4b1110  | 4b1110  | 1b0  | No    |
|195    |Arithmetic       | MULT |4b0001| 4b1010| 4b1010  | 4b1010  | 1b0  | Yes   |
|196    |Comparison/Shift | SRL  |4b1110| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|197    |Logical          | OR   |4b1001| 4b0111| 4b1111  | 4b1111  | 1b0  | Yes   |
|198    |Arithmetic       | DIV  |4b1010| 4b0001| 4b1010  | 4b1010  | 1b0  | Yes   |
|199    |Arithmetic       | DIV  |4b1010| 4b1000| 4b0001  | 4b0001  | 1b0  | Yes   |
|200    |Comparison/Shift | SLTU |4b0100| 4b1011| 4b0001  | 4b0001  | 1b0  | Yes   |
|201    |Logical          | XOR  |4b1100| 4b0111| 4b1011  | 4b1011  | 1b0  | Yes   |
|202    |Logical          | OR   |4b0000| 4b0101| 4b0101  | 4b0101  | 1b1  | No    |
|203    |Logical          | NOR  |4b1111| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|204    |Arithmetic       | SUB  |4b1111| 4b1100| 4b0011  | 4b0011  | 1b0  | Yes   |
|205    |Comparison/Shift | SRL  |4b0011| 4b0000| 4b0011  | 4b0011  | 1b0  | Yes   |
|206    |Logical          | NOT_A|4b0001| 4b0011| 4b1110  | 4b1110  | 1b0  | Yes   |
|207    |Logical          | XNOR |4b1011| 4b1010| 4b1110  | 4b1110  | 1b0  | Yes   |
|208    |Comparison/Shift | LEU  |4b0110| 4b1011| 4b0001  | 4b0001  | 1b0  | Yes   |
|209    |Arithmetic       | SUB  |4b0010| 4b0010| 4b0000  | 4b0000  | 1b0  | Yes   |
|210    |Comparison/Shift | GE   |4b0111| 4b1111| 4b0001  | 4b0001  | 1b0  | Yes   |
|211    |Arithmetic       | SUB  |4b0101| 4b0110| 4b1111  | 4b1111  | 1b1  | Yes   |
|212    |Arithmetic       | MOD  |4b0010| 4b0101| 4b0010  | 4b0010  | 1b0  | Yes   |
|213    |Logical          | NOR  |4b0101| 4b0110| 4b1000  | 4b1000  | 1b0  | Yes   |
|214    |Logical          | NOT_B|4b1001| 4b0100| 4b1011  | 4b1011  | 1b0  | Yes   |
|215    |Arithmetic       | DIV  |4b1111| 4b0001| 4b1111  | 4b1111  | 1b0  | Yes   |
|216    |Logical          | NOR  |4b1100| 4b1100| 4b0011  | 4b0011  | 1b0  | Yes   |
|217    |Arithmetic       | SUB  |4b1110| 4b0100| 4b1010  | 4b1010  | 1b0  | Yes   |
|218    |Logical          | AND  |4b0011| 4b0100| 4b0000  | 4b0000  | 1b0  | Yes   |
|219    |Logical          | NOT_B|4b1010| 4b0010| 4b1101  | 4b1101  | 1b0  | Yes   |
|220    |Arithmetic       | DIV  |4b0111| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|221    |Arithmetic       | DIV  |4b1111| 4b0110| 4b0010  | 4b0010  | 1b0  | Yes   |
|222    |Arithmetic       | ADD  |4b1010| 4b0011| 4b1101  | 4b1101  | 1b0  | Yes   |
|223    |Arithmetic       | MULT |4b0101| 4b1111| 4b1011  | 4b1011  | 1b0  | Yes   |
|224    |Comparison/Shift | GE   |4b1011| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|225    |Arithmetic       | SUB  |4b1010| 4b0000| 4b1010  | 4b1010  | 1b0  | Yes   |
|226    |Logical          | NOR  |4b0100| 4b1101| 4b0010  | 4b0010  | 1b0  | Yes   |
|227    |Comparison/Shift | SRA  |4b1111| 4b0011| 4b0001  | 4b0001  | 1b0  | Yes   |
|228    |Logical          | NOT_A|4b1100| 4b1101| 4b0011  | 4b0011  | 1b0  | Yes   |
|229    |Arithmetic       | DIV  |4b0011| 4b0100| 4b0000  | 4b0000  | 1b0  | Yes   |
|230    |Logical          | NOT_B|4b0111| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|231    |Arithmetic       | DIV  |4b1110| 4b0110| 4b0010  | 4b0010  | 1b0  | Yes   |
|232    |Arithmetic       | MOD  |4b1100| 4b1110| 4b1100  | 4b1100  | 1b0  | Yes   |
|233    |Comparison/Shift | SRA  |4b1110| 4b0100| 4b0000  | 4b0000  | 1b0  | Yes   |
|234    |Arithmetic       | ADD  |4b0001| 4b1011| 4b1100  | 4b1100  | 1b0  | Yes   |
|235    |Logical          | XOR  |4b1110| 4b1100| 4b0010  | 4b0010  | 1b0  | Yes   |
|236    |Comparison/Shift | SLT  |4b1010| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|237    |Comparison/Shift | EQ   |4b1100| 4b1000| 4b0000  | 4b0000  | 1b1  | No    |
|238    |Comparison/Shift | SRA  |4b0111| 4b0011| 4b0000  | 4b0000  | 1b0  | Yes   |
|239    |Logical          | NAND |4b1001| 4b1110| 4b0111  | 4b0111  | 1b0  | Yes   |
|240    |Arithmetic       | ADD  |4b1100| 4b0011| 4b1111  | 4b1111  | 1b0  | Yes   |
|241    |Logical          | AND  |4b0111| 4b0000| 4b0000  | 4b0000  | 1b0  | Yes   |
|242    |Comparison/Shift | LEU  |4b1011| 4b1111| 4b0001  | 4b0001  | 1b0  | Yes   |
|243    |Comparison/Shift | LT   |4b1011| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|244    |Logical          | XOR  |4b0110| 4b1000| 4b1110  | 4b1110  | 1b0  | Yes   |
|245    |Comparison/Shift | SLTU |4b0000| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|246    |Arithmetic       | DIV  |4b0001| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|247    |Arithmetic       | DIV  |4b0100| 4b1100| 4b0000  | 4b0000  | 1b0  | Yes   |
|248    |Comparison/Shift | LT   |4b1111| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|249    |Arithmetic       | MOD  |4b1011| 4b1000| 4b0011  | 4b0011  | 1b0  | Yes   |
|250    |Arithmetic       | MULT |4b0111| 4b1000| 4b1000  | 4b1000  | 1b0  | No    |
|251    |Comparison/Shift | SLTU |4b0110| 4b0010| 4b0000  | 4b0000  | 1b0  | Yes   |
|252    |Arithmetic       | MULT |4b1010| 4b1011| 4b1110  | 4b1110  | 1b0  | Yes   |
|253    |Logical          | NOT_A|4b1001| 4b0101| 4b0110  | 4b0110  | 1b0  | Yes   |
|254    |Logical          | XNOR |4b1011| 4b1101| 4b1001  | 4b1001  | 1b0  | Yes   |
|255    |Arithmetic       | DIV  |4b1001| 4b0101| 4b0001  | 4b0001  | 1b0  | Yes   |
|256    |Comparison/Shift | SLL  |4b0000| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|257    |Comparison/Shift | GEU  |4b0010| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|258    |Arithmetic       | MULT |4b0111| 4b0000| 4b0000  | 4b0000  | 1b0  | Yes   |
|259    |Logical          | NOT_B|4b0010| 4b0011| 4b1100  | 4b1100  | 1b0  | Yes   |
|260    |Comparison/Shift | NE   |4b1110| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|261    |Comparison/Shift | LEU  |4b0000| 4b0111| 4b0001  | 4b0001  | 1b0  | Yes   |
